FID,Shape,TARGET_FID,nitr_ran,lat,long
1199,Point,12000,1.120871,44.6291,-90.0079
1812,Point,18140,1.12718,46.0947,-89.0793
1656,Point,16580,1.129097,45.4861,-88.9687
369,Point,3700,1.135201,43.3033,-88.3023
1136,Point,11370,1.144233,44.5583,-90.2599
174,Point,1750,1.146561,43.015,-88.4495
1823,Point,18250,1.147925,46.1405,-89.2913
596,Point,5970,1.167274,43.6397,-88.4207
887,Point,8880,1.174668,44.2542,-88.3237
434,Point,4350,1.182008,43.3872,-88.2687
1696,Point,16980,1.183316,45.6516,-92.8588
645,Point,6460,1.186761,43.7711,-88.4615
199,Point,2000,1.189377,43.047,-88.0548
1189,Point,11900,1.191937,44.6192,-87.804
930,Point,9310,1.192385,44.315,-88.1854
227,Point,2280,1.193998,43.0914,-88.1976
1770,Point,17720,1.196386,45.9566,-89.574
257,Point,2580,1.197073,43.137,-88.1859
1602,Point,16040,1.201109,45.3514,-92.6166
1836,Point,18380,1.201928,46.2255,-89.8324
1059,Point,10600,1.203932,44.4758,-88.1634
1019,Point,10200,1.211045,44.4305,-88.4068
1749,Point,17510,1.213077,45.895,-92.553
1731,Point,17330,1.213704,45.8372,-92.0816
1793,Point,17950,1.217068,46.0125,-89.6724
239,Point,2400,1.218951,43.1106,-88.5104
509,Point,5100,1.220037,43.4853,-88.2301
1665,Point,16670,1.220391,45.5111,-89.5768
182,Point,1830,1.231934,43.0264,-88.3904
1017,Point,10180,1.234341,44.4292,-88.1312
929,Point,9300,1.236814,44.3139,-88.1207
183,Point,1840,1.270833,43.0278,-87.9056
1853,Point,18550,1.272619,46.5397,-90.7318
660,Point,6610,1.276209,43.7922,-88.4846
440,Point,4410,1.276786,43.3933,-88.2451
1127,Point,11280,1.280645,44.5522,-87.8887
1090,Point,10910,1.283157,44.5108,-88.1707
1471,Point,14720,1.283527,45.0694,-87.6665
886,Point,8870,1.28722,44.2533,-87.9682
1167,Point,11680,1.291328,44.5903,-88.1137
888,Point,8890,1.294143,44.255,-87.8965
1508,Point,15090,1.295741,45.1375,-89.7962
796,Point,7970,1.296553,44.0989,-88.1632
105,Point,1060,1.302212,42.8047,-88.1306
1659,Point,16610,1.306848,45.4952,-88.4362
397,Point,3980,1.307261,43.333,-88.9459
222,Point,2230,1.307331,43.0845,-88.1112
1135,Point,11360,1.314473,44.5575,-88.0707
1649,Point,16510,1.335614,45.4802,-88.9954
1157,Point,11580,1.354217,44.5811,-88.1001
363,Point,3640,1.354362,43.2947,-87.909
958,Point,9590,1.354794,44.3564,-88.2521
1820,Point,18220,1.356804,46.13,-89.271
291,Point,2920,1.359318,43.1764,-87.9768
671,Point,6720,1.360834,43.8139,-88.3032
287,Point,2880,1.363659,43.1697,-88.1518
1612,Point,16140,1.373136,45.3864,-91.0104
883,Point,8840,1.375834,44.248,-87.9456
201,Point,2020,1.379737,43.0506,-88.2173
1036,Point,10370,1.384414,44.4503,-87.979
610,Point,6110,1.38699,43.6739,-88.0745
1654,Point,16560,1.388707,45.4841,-88.9812
144,Point,1450,1.393458,42.9456,-88.0459
641,Point,6420,1.398471,43.76,-88.0107
786,Point,7870,1.398497,44.0691,-88.5373
1727,Point,17290,1.399512,45.8199,-92.1991
1700,Point,17020,1.406934,45.66,-88.4473
1096,Point,10970,1.409094,44.5172,-88.7034
1704,Point,17060,1.409423,45.678,-92.7216
320,Point,3210,1.417269,43.2167,-87.9265
656,Point,6570,1.425469,43.7878,-88.449
488,Point,4890,1.43118,43.4578,-88.0056
585,Point,5860,1.442494,43.6193,-88.0356
797,Point,7980,1.443602,44.1025,-88.6534
1653,Point,16550,1.453812,45.4836,-88.9651
1663,Point,16650,1.457586,45.5059,-88.0994
588,Point,5890,1.459746,43.6247,-88.0734
710,Point,7110,1.461448,43.913,-88.7268
358,Point,3590,1.462986,43.2853,-87.9709
627,Point,6280,1.4653,43.723,-87.7387
954,Point,9550,1.467988,44.3522,-87.8312
